Stockholiana på köpet!,2
Rensning av frånluftsventilationen Bemötandet vart mycket bra. Trevligt att ha kontakt med företaget.,2
Jätte fin service och supergod mat! Bra att man fick ta med det man inte orkade äta upp på restaurangen hem!,2
Gjorde inte vad de lovade. Tog extra betalt för sådant som borde ha ingått.,0
"Återigen väldigt nöjda med Michels insats i vår försäljning. Väldigt proffsigt bemötande, saklig, och utmärkt bollplank kring diverse frågor. Flexibel och tillgänglig.",2
"Trevliga killar som var lätt att samarbeta med. Bra idéer , snyggt jobb och framför allt proffsigt . Återkopplade till mig många gånger och lämnade inget arbete förrän jag var nöjd! Gjorde fint efter sig och mitt badrum är ursnygga ! Mycket nöjd.",2
"Väldigt trevlig och kompetent, tillmötesgående och serviceinriktad. Jag hade inte kunnat förvänta mig ett bättre arbete än vad Sjöströms entreprenad gjorde för mig, rekommenderar dem till 100 %.",2
Det gick lätt att beställa och varan kom snabbt 😊,2
Jag har inte beställt hjulinställning på alla fyra hjulen a 1080 + moms!!! Jag kommer aldrig att anlita er mer !! och inte rekommendera er för mina vänner!!,0
Köpte en transportbil av en säljare på telefon har aldrig känt mig så lurad den där Ali är en riktig skojare kommer aldrig rekommendera den firman,0
"Det var jätte bra. Trevlig personal, hjälpsamma och hade vi behövt en til säng hade vi givetvis haft er butik i åtanke",2
Trevlig men okunnig personal. Hjälpsamma men något oseriösa.,0
"Jag la till Karmtvätt, vilket inte genomfördes, de va smutsigare efter genomfört arbete, då det runnit smuts från fönsterna.",0
För många strömmavbrott !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0
"Väldigt mysigt café/restaurang med tillhörande butik, flexibel och trevlig personal.",2
Värdelöst.. fick inte det hotell vi bokat. Utan att vi blivit informerade om det innan.,0
"Mitt namn är kamla Hasso, är mycket nöjd med min säng. Jag rekommenderade mång att köpa en sådan säng",2
Vid köp av behandling på Let's Deal borde de uppmana en om att man med stor sannolikhet INTE kommer få en tid i centrala Stockholm.,0
Vi har köpt en lägenhet men en riktigt underbar utsikt. Bemötandet från John var förtroendeingivande och professionellt. Vi är riktigt nöjda med Johns insats och kommer att rekomendera honom  till andra.,2
Köpte bambukudde med gel mycket nöjd med kudden och servicen snabb leverans,2
Allt var jättebra förutom vår trappa ni skulle komma och fixa efter att ha dragi av en skruv.Nu har det gått1 1/2 halvt år väntar fortfarande!,0
"Kom enligt utsatt tid, gjorde jobbet (2ballofix + blandarmontering) på en timme. Trevlig, tydlig om pris i förväg ",2
*Jag är 100 %nöjd med bemötandet; blev sedd * Lugn och avslappnande miljö * Naturliga samtal * Duktig frisör * God information om produkterna * Har varit nöjd när fåttminbehandling,2
"Flyttgiganten får kunder genom att de är billiga ""säger de"" men ack vad de lägger på extra timmar för att täcka ""billigheten"". Rekommenderar inte!!!!!!!",0
